6,19
31,40
15,45
5,9
24,49
43,39
15,36
4,37
35,24
14,22
39,49
41,30
19,36
3,37
16,32
39,0
46,17
19,5
32,21
47,15
0,24
39,10
16,46
8,47
30,36
47,42
6,38
21,25
34,38
48,36
48,1
29,3
48,21
19,34
40,4
28,45
33,8
15,4
17,29
27,26
44,5
26,6
6,31
3,12
46,36
44,16
45,35
2,31
1,24
4,0
44,37
11,37
0,48
17,34
18,27
10,45
34,3
11,4
7,2
48,32
28,33
34,28
39,29
7,4
9,2
21,9
30,48
14,3
30,15
17,49
17,16
10,38
29,5
39,42
24,7
32,37
46,20
18,24
30,24
35,29
47,7
19,0
40,36
44,35
27,37
19,16
47,11
8,21
3,21
38,17
15,18
27,48
11,31
31,32
41,15
7,23
45,22
24,16
47,24
48,26
47,23
0,17
17,41
42,44
11,36
23,5
27,0
34,39
35,18
21,34
7,9
35,7
28,6
19,22
42,20
29,9
27,24
24,43
40,33
48,35
49,39
46,16
12,40
18,15
30,3
37,4
5,7
48,0
5,12
45,17
46,8
9,2
8,44
21,30
13,9
24,3
46,25
14,0
3,13
8,24
25,6
32,46
32,24
9,26
44,38
23,24
43,6
12,6
37,33
37,30
39,43
3,24
4,9
22,45
15,48
44,26
25,40
2,14
13,5
2,39
4,24
30,25
37,10
48,6
43,22
8,36
19,9
43,6
48,45
3,24
33,40
40,1
36,0
44,42
22,43
27,43
27,0
24,15
3,47
48,23
17,46
12,49
24,18
38,46
40,35
5,6
43,31
34,36
5,14
37,48
47,6
27,5
29,9
49,12
43,48
48,36
38,16
19,48
3,25
12,8
14,39
34,23
21,16
37,7
11,21
8,28
15,34
0,25
49,40
6,16
43,3
35,3
12,49
44,19
33,23
2,41
39,47
4,10
14,30
48,41
43,49
37,25
10,15
30,46
23,24
26,41
32,25
30,7
1,16
48,32
4,26
6,35
28,33
37,20
12,4
46,0
36,45
24,0
33,11
14,27
7,16
33,34
45,33
3,5
39,27
7,30
11,2
13,15
22,47
26,48
24,30
36,11
42,0
35,28
39,47
36,16
47,8
23,1
25,31
38,9
49,16
27,46
28,14
20,12
0,12
36,2
38,33
38,18
29,43
